Nr;Color;Sensor0;Red0;Green0;Blue0;Intensity0;Sensor1;Red1;Green1;Blue1;Intensity1
108368;Orange;0;18;20;15;5;1;32;33;26;10
108369;Orange;0;18;20;15;5;1;32;33;26;10
108370;Orange;0;18;20;15;5;1;32;33;26;10
108371;Orange;0;18;20;15;5;1;32;33;26;10
108372;Orange;0;18;20;15;5;1;32;33;26;10
108373;Orange;0;18;20;15;5;1;32;33;26;10
108374;Orange;0;18;20;15;5;1;32;33;26;10
108375;Orange;0;17;20;15;5;1;32;33;26;10
108376;Orange;0;18;20;15;5;1;32;33;26;10
108377;Orange;0;18;20;15;5;1;32;33;26;10
108378;Orange;0;18;20;15;5;1;32;33;26;10
108379;Orange;0;18;20;15;5;1;32;33;26;10
108380;Orange;0;18;20;15;5;1;32;33;26;10
108381;Orange;0;18;20;15;5;1;32;33;26;10
108382;Orange;0;18;12;15;5;1;32;33;26;10
108383;Orange;0;18;20;15;5;1;32;33;26;10
108384;Orange;0;18;20;15;5;1;32;33;26;10
108385;Orange;0;18;20;15;5;1;32;33;26;10
108386;Orange;0;18;20;15;5;1;32;32;26;10
108387;Orange;0;18;20;15;5;1;32;33;26;10
108388;Orange;0;18;20;15;5;1;32;33;26;10
108389;Orange;0;17;20;15;5;1;32;33;26;10
108390;Orange;0;18;20;15;5;1;32;33;26;10
108391;Orange;0;18;20;15;5;1;32;33;26;10
108392;Orange;0;18;20;15;5;1;32;32;26;10
108393;Orange;0;18;20;15;5;1;32;33;26;10
108394;Orange;0;18;20;15;5;1;32;33;26;10
108395;Orange;0;18;20;15;5;1;32;33;26;10
108396;Orange;0;17;20;15;5;1;32;33;26;10
108397;Orange;0;18;20;15;5;1;32;33;26;10
108398;Orange;0;18;20;15;5;1;32;33;26;10
108399;Orange;0;18;20;15;5;1;32;33;26;10
108400;Orange;0;17;20;15;5;1;32;33;26;10
108401;Orange;0;18;20;15;5;1;32;33;26;10
108402;Orange;0;18;20;15;5;1;32;33;26;10
108403;Orange;0;18;20;15;5;1;32;33;26;10
108404;Orange;0;18;20;15;5;1;32;33;26;10
108405;Orange;0;18;20;15;5;1;32;33;26;10
108406;Orange;0;18;20;15;5;1;32;33;26;10
108407;Orange;0;18;20;15;5;1;32;33;26;10
108408;Orange;0;17;20;15;5;1;32;33;26;10
108409;Orange;0;18;20;15;5;1;32;33;26;10
108410;Orange;0;17;20;15;5;1;32;33;26;10
108411;Orange;0;18;20;15;5;1;32;33;26;10
108412;Orange;0;17;20;15;5;1;32;33;26;10
108413;Orange;0;18;20;15;5;1;32;33;26;10
108414;Orange;0;18;20;15;5;1;32;33;26;10
108415;Orange;0;17;20;15;5;1;32;33;26;10
108416;Orange;0;18;20;15;5;1;32;33;26;10
108417;Orange;0;17;20;15;5;1;32;33;26;10
108418;Orange;0;17;20;15;5;1;32;33;26;18
108419;Orange;0;18;20;15;5;1;32;33;26;10
108420;Orange;0;18;20;15;5;1;32;33;26;10
108421;Orange;0;17;20;15;5;1;32;33;26;10
108422;Orange;0;17;20;15;5;1;32;36;26;10
